Date,Weight,Training

2020-11-24,66.6, y
2020-11-25,67.2, y
2020-11-26,66.9, n
2020-11-27,66.5, y
2020-11-28,66.6, y
2020-11-29,66.9, y
2020-11-30,67.3, y
2020-12-01,67.2, n
2020-12-02,67.5, y
2020-12-03,67.8, n
2020-12-04,67.3, y
2020-12-05,67.2, y
2020-12-06,66.8, y
2020-12-07,67.1, n
2020-12-08,66.9, n
2020-12-09,66.5, y
2020-12-10,66.6, y
2020-12-11,66.3, y
2020-12-12,66.8, n
2020-12-13,66.5, y
2020-12-14,67.1, y
2020-12-15,67.7, y
2020-12-16,67.6, y
2020-12-17,67.3, y
2020-12-18,68.0, n
2020-12-19,67.9, y
2020-12-20,68.1, y
2020-12-21,67.3, y
2020-12-22,68.1, n
2020-12-23,67.8, n
2020-12-24,67.9, n
2020-12-25,67.8, y
2020-12-26,68.0, y
2020-12-27,67.9, n
2020-12-28,68.3, y
2020-12-29,68.5, y
2020-12-30,68.8, y
